Price,URL,Name,Sqft,Beds,Bath
"$1415/mo","https://www.zillow.com/homedetails/325-K-St-APT-87-Davis-CA-95616/2081404788_zpid/","325 K St APT 87 Davis CA 95616","450 sqft","1 bd","1 ba"
"$1700/mo","https://www.zillow.com/homedetails/343-K-St-APT-104-Davis-CA-95616/2081404789_zpid/","343 K St APT 104 Davis CA 95616","750 sqft","2 bds","1 ba"
"$2455/mo","https://www.zillow.com/homedetails/4501-Alhambra-Dr-APT-207-Davis-CA-95618/2081465229_zpid/","SEVILLE AT MACE RANCH","1188 sqft","2 bds","2 ba"
"$1300/mo","https://www.zillow.com/homedetails/512-9th-St-Davis-CA-95616/2099633042_zpid/","512 9th St Davis CA 95616","-- sqft","1 bd","1 ba"
"$1995/mo","https://www.zillow.com/homedetails/217-B-St-APT-6-Davis-CA-95616/2094334102_zpid/","217 B St APT 6 Davis CA 95616","-- sqft","2 bds","1 ba"
"$1800/mo","https://www.zillow.com/homedetails/2720-Pole-Line-Rd-APT-2-Davis-CA-95618/16519260_zpid/","2720 Pole Line Rd APT 2 Davis CA 95618","900 sqft","2 bds","1 ba"
"$2650/mo","https://www.zillow.com/homedetails/753-Pena-Dr-UNIT-B-Davis-CA-95618/2081494892_zpid/","753 Pena Dr UNIT B Davis CA 95618","1253 sqft","2 bds","2 ba"
"$1695/mo","https://www.zillow.com/homedetails/500-Pole-Line-Rd-Davis-CA-95618/2082191210_zpid/","500 Pole Line Rd Davis CA 95618","650 sqft","1 bd","1 ba"
"$1750/mo","https://www.zillow.com/homedetails/804-9th-St-APT-205-Davis-CA-95616/2082218863_zpid/","804 9th St APT 205 Davis CA 95616","945 sqft","2 bds","1 ba"
"$1600/mo","https://www.zillow.com/homedetails/1432-Drake-Dr-APT-1-Davis-CA-95616/2085630179_zpid/","1432 Drake Dr APT 1 Davis CA 95616","1050 sqft","2 bds","1 ba"
"$1695/mo","https://www.zillow.com/homedetails/2818-Bidwell-St-APT-3-Davis-CA-95618/16519370_zpid/","2818 Bidwell St APT 3 Davis CA 95618","911 sqft","2 bds","1 ba"
"$1450/mo","https://www.zillow.com/homedetails/2128-Bueno-Dr-APT-13-Davis-CA-95616/16522788_zpid/","2128 Bueno Dr APT 13 Davis CA 95616","750 sqft","1 bd","1 ba"
"$1650/mo","https://www.zillow.com/homedetails/1901-Donner-Ave-APT-3-Davis-CA-95618/16519113_zpid/","1901 Donner Ave APT 3 Davis CA 95618","903 sqft","2 bds","1 ba"
"$1595/mo","https://www.zillow.com/homedetails/2836-Bidwell-St-APT-3-Davis-CA-95618/16519382_zpid/","2836 Bidwell St APT 3 Davis CA 95618","903 sqft","2 bds","1 ba"
"$1875/mo","https://www.zillow.com/homedetails/204-University-Ave-Davis-CA-95616/2083315346_zpid/","204 University Ave Davis CA 95616","-- sqft","2 bds","1 ba"
"$2150/mo","https://www.zillow.com/homedetails/1605-Tilia-St-VIRIDIAN-Davis-CA-95616/2081657473_zpid/","1605 Tilia St # VIRIDIAN Davis CA 95616","800 sqft","1 bd","1 ba"
"$1695/mo","https://www.zillow.com/homedetails/1805-E-8th-St-7961467-Davis-CA-95616/2081942733_zpid/","1805 E 8th St # 7961467 Davis CA 95616","950 sqft","2 bds","1 ba"
"$1775/mo","https://www.zillow.com/homedetails/312-University-Ave-Davis-CA-95616/2082817902_zpid/","312 University Ave Davis CA 95616","-- sqft","2 bds","1 ba"
"$1795/mo","https://www.zillow.com/homedetails/704-Villanova-Dr-704-Davis-CA-95616/2081643095_zpid/","704 Villanova Dr # 704 Davis CA 95616","915 sqft","2 bds","1 ba"
"$1745/mo","https://www.zillow.com/homedetails/330-J-St-APT-26-Davis-CA-95616/2081673594_zpid/","330 J St APT 26 Davis CA 95616","750 sqft","2 bds","1 ba"
"$1415/mo","https://www.zillow.com/homedetails/331-K-St-APT-93-Davis-CA-95616/2081673595_zpid/","331 K St APT 93 Davis CA 95616","450 sqft","1 bd","1 ba"
"$1745/mo","https://www.zillow.com/homedetails/301-K-St-APT-62-Davis-CA-95616/2081673596_zpid/","301 K St APT 62 Davis CA 95616","750 sqft","2 bds","1 ba"
"$1415/mo","https://www.zillow.com/homedetails/307-K-St-APT-69-Davis-CA-95616/2081711053_zpid/","307 K St APT 69 Davis CA 95616","450 sqft","1 bd","1 ba"
"$3400/mo","https://www.zillow.com/homedetails/820-B-St-201-Davis-CA-95616/2083117704_zpid/","820 B St # 201 Davis CA 95616","1230 sqft","2 bds","1.5 ba"
"$1990/mo","https://www.zillow.com/homedetails/1818-Moore-Blvd-APT-236-Davis-CA-95618/72506484_zpid/","1818 Moore Blvd APT 236 Davis CA 95618","1113 sqft","2 bds","2 ba"
"$1800/mo","https://www.zillow.com/homedetails/945-Cypress-Ln-Davis-CA-95616/16544315_zpid/","945 Cypress Ln Davis CA 95616","1888 sqft","2 bds","1 ba"
"$1695/mo","https://www.zillow.com/homedetails/319-K-St-APT-83-Davis-CA-95616/2081757262_zpid/","319 K St APT 83 Davis CA 95616","750 sqft","2 bds","1 ba"
"$1415/mo","https://www.zillow.com/homedetails/319-K-St-APT-81-Davis-CA-95616/2085976272_zpid/","319 K St APT 81 Davis CA 95616","450 sqft","1 bd","1 ba"
"$1675/mo","https://www.zillow.com/homedetails/2905-Austin-St-APT-3-Davis-CA-95618/16519306_zpid/","2905 Austin St APT 3 Davis CA 95618","903 sqft","2 bds","1 ba"
"$1750/mo","https://www.zillow.com/homedetails/2128-Bueno-Dr-APT-19-Davis-CA-95616/16522775_zpid/","2128 Bueno Dr APT 19 Davis CA 95616","1100 sqft","2 bds","1.5 ba"
